DBMS_uriform,X_DBMS_uriform,Y_DBMS_uriform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_Feb-2023,Rank_Feb-2023
edis,edis,,X_Single,Y_auto,Edis,Key-value,Erlang,,,Chad DePue,US,2010,,Open Source,,cbd/edis,Y,,
ehcache,ehcache,ehcache,Normal,Y_auto,Ehcache,Key-value,Java,Custom API,,"Terracotta Inc., owned by Software AG",US,2003#dbdbio>|<dbengines#2009,2022,Open Source,Apache v2; commercial licenses available,ehcache/ehcache3,Y,6.04,70
einsteindb,einsteindb,,X_Single,Y_auto,EinsteinDB,Key-value,Rust,,,Whtcorps Inc.,US,2019,,Open Source,,YosiSF/EinsteinDB,Y,,
ejdb,ejdb,ejdb,Normal,Y_auto,EJDB,"Document,Key-value",C,,,Softmotions,RU,2012,,Open Source,GPLv2,Softmotions/ejdb,Y,0.5,280
elara-db,elara-db,,X_Single,Y_auto,Elara DB,Key-value,Python,,,Saurabh Pujari,IN,2021,,"Hobby,Open Source",,saurabh0719/elara,Y,,
elasql,elasql,,X_Single,Y_auto,ElaSQL,Relational,Java,,,National Tsing Hua University,TW,2016,,"Academic,Open Source",,elasql/elasql,Y,,
elasticsearch,elasticsearch,elasticsearch,Normal,Y_auto,Elasticsearch,Document#dbdbio>|<dbengines#Search engine,Java,,,Elasticsearch BV,US,2004#dbdbio>|<dbengines#2010,2020,Open Source,Elastic License,elastic/elasticsearch,Y,138.6,8
elephantdb,elephantdb,,X_Single,Y_auto,ElephantDB,Key-value,Clojure,,,Nathan Marz,US,2011,,Open Source,,nathanmarz/elephantdb,Y,,
elevator,elevator,,X_Single,Y_auto,Elevator,Key-value,,,,Théo Crevon,DE,2012,,Open Source,,oleiade/Elevator,Y,,
eliasdb,eliasdb,,X_Single,Y_auto,EliasDB,Graph,Go,,,Matthias Ladkau,GB,2016,,Open Source,,krotik/eliasdb,Y,,
elliptics,elliptics,elliptics,Normal,Y_auto,Elliptics,Key-value,"C++,Python",,,Reverbrain,RU,2009,,"Commercial,Open Source",,reverbrain/elliptics,Y,0.3,328
embeddinghub,embeddinghub,,X_Single,Y_auto,Embeddinghub,Array,Go,,,Featureform,US,2020,,"Commercial,Open Source",,featureform/embeddinghub,Y,,
engula,engula,,X_Single,Y_auto,Engula,Key-value,Rust,,,Huachao Huang,CN,2022,,"Hobby,Open Source",,engula/engula,Y,,
ennodb,ennodb,,X_Single,Y_auto,EnnoDB,Key-value,C,,,Enno Rehling,NO,2012,,"Hobby,Open Source",,badgerman/ennodb,Y,,
etcd,etcd,etcd,Normal,Y_auto,etcd,Key-value,Go,,,CoreOS,US,2013,2019,Open Source,Apache Version 2.0,etcd-io/etcd,Y,8.51,52
euclidesdb,euclidesdb,,X_Single,Y_auto,EuclidesDB,Array,C++,,,Christian S. Perone,PT,2018,,Open Source,,perone/euclidesdb,Y,,
