DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,open_source_license,Score_May-2023,Rank_May-2023
cubrid,cubrid,cubrid,Normal,Y_auto,Cubrid,"Object oriented,Relational#dbdbio>|<dbengines#Relational",C,"Custom API,SQL,Stored Procedures,Command-line / Shell",Shared-Nothing,"Naver Corporation#dbdbio>|<dbengines#CUBRID Corporation, CUBRID Foundation",KR,2008,2021,Open Source,"BSD,GPL v2#dbdbio>|<dbengines#Apache Version 2.0",CUBRID/cubrid,Y,2.0,155
curiodb,curiodb,,X_Single,Y_auto,CurioDB,Key-value,Scala,Custom API,Shared-Nothing,Stephen McDonald,AU,2015,,Open Source,BSD,stephenmcd/curiodb,Y,,
dalmatinerdb,dalmatinerdb,,X_Single,Y_auto,DalmatinerDB,,Erlang,,,Project FiFo,DE,2014,,Open Source,MIT,,Y,,
databend,databend,databend,Normal,Y_auto,Databend,Relational,Rust,SQL,Shared-Disk,Datafuse Labs,CN,2020#dbdbio>|<dbengines#2021,,"Commercial,Open Source",Apache v2#dbdbio>|<dbengines#Apache Version 2.0,datafuselabs/databend,Y,0.7,269
datafusion,datafusion,,X_Single,Y_auto,DataFusion,Relational,Rust,SQL,Shared-Everything,,US,2016,,Open Source,Apache v2,apache/arrow-datafusion,Y,,
datahike,datahike,,X_Single,Y_auto,Datahike,,Clojure,Datalog,Shared-Everything,lambdaforge UG,DE,2018,,Open Source,Eclipse Public License,replikativ/datahike,Y,,
datascript,datascript,,X_Single,Y_auto,DataScript,Key-value,Clojure,Datalog,,Nikita Prokopov,RU,2014,,Open Source,Eclipse Public License,tonsky/datascript,Y,,
db4o,db4o,db4o,Normal,Y_auto,db4o#dbdbio>|<dbengines#Db4o,Object oriented,,,Embedded,db4objects Inc.,US,2000#dbdbio>|<dbengines#2001,2014,"Commercial,Open Source","GPL v2,Proprietary#dbdbio>|<dbengines#commercial license available for existing customers only",pegurnee/db4o#dbdbio>|<dbengines#iboxdb/db4o-gpl,Y,2.34,143
dbreeze,dbreeze,,X_Single,Y_auto,DBreeze,"Key-value,Document",C#,Custom API,,Alexey Solovyov,DE,2012,,Open Source,BSD,hhblaze/DBreeze,Y,,
dbx1000,dbx1000,,X_Single,Y_auto,DBx1000,Relational,"Assembly,C++",,Shared-Everything,"Massachusetts Institute of Technology, Carnegie Mellon University",US,2014,,"Academic,Open Source",ISC License,yxymit/DBx1000,Y,,
deepdb,deepdb,,X_Single,Y_auto,DeepDB,Relational,C++,SQL,Shared-Everything,"Deep Information Sciences, Inc.",US,2010,2017,"Commercial,Open Source","AGPL v3,Proprietary",DeepFound/deep_engine,Y,,
degdb,degdb,,X_Single,Y_auto,DegDB,Graph,Go,,,Tristan Rice,CA,2015,,Open Source,MIT,degdb/degdb,Y,,
delta-lake,delta-lake,,X_Single,Y_auto,Delta Lake,Wide column,Scala,,Shared-Disk,Databricks,US,2019,,"Commercial,Open Source",Apache v2,delta-io/delta,Y,,
densodb,densodb,,X_Single,Y_auto,DensoDB,Document,C#,,,Paolo Possanzini,IT,2012,2013,Open Source,,teamdev/densodb,Y,,
derby,derby,derby,Normal,Y_auto,Derby,Relational,Java,SQL,Embedded,Cloudscape Inc.#dbdbio>|<dbengines#Apache Software Foundation,US,1997,2022,Open Source,Apache v2#dbdbio>|<dbengines#Apache version 2,apache/derby,Y,6.86,61
